Chr	start	stop	V4	V5	V6	M24C1_LSD1	M24C2_LSD1	M24D1_LSD1	M24D2_LSD1	M24G1_LSD1	M24G2_LSD1	M24Q1_LSD1	M24Q2_LSD1
chr17	42453147	42453540	LSD1_peak_7217	0	.	18	14	17	10	28	25	38	46
chr17	42456360	42456860	LSD1_peak_7218	0	.	47	42	64	44	60	57	50	55
chr17	42457139	42458365	LSD1_peak_7219	0	.	78	83	104	144	98	130	125	119
chr17	42458802	42459104	LSD1_peak_7220	0	.	16	20	19	35	38	47	38	26
chr17	42532014	42532312	LSD1_peak_7221	0	.	21	26	42	17	35	27	32	45
chr17	42561647	42561938	LSD1_peak_7222	0	.	20	16	19	23	9	29	17	23
chr17	42674155	42674454	LSD1_peak_7223	0	.	12	24	28	25	30	15	35	33
chr17	42678627	42678643	LSD1_peak_7224	0	.	8	1	7	0	4	2	8	2
chr17	42682239	42682555	LSD1_peak_7225	0	.	15	19	13	14	14	23	27	24
chr17	42735879	42736116	LSD1_peak_7226	0	.	12	15	12	9	22	39	8	6
chr17	43006761	43007091	LSD1_peak_7227	0	.	24	12	26	15	18	25	33	26
chr17	43396159	43396479	LSD1_peak_7228	0	.	9	10	30	16	24	26	36	33
chr17	43768272	43769199	LSD1_peak_7229	0	.	40	63	69	98	72	115	88	94
chr17	43773208	43773573	LSD1_peak_7230	0	.	36	39	62	53	48	61	42	48
chr17	44006402	44006629	LSD1_peak_7231	0	.	15	19	12	9	13	20	9	13
chr17	44007027	44007473	LSD1_peak_7232	0	.	16	17	69	48	33	33	65	42
chr17	44095915	44096422	LSD1_peak_7233	0	.	19	22	32	30	21	39	55	38
chr17	44325069	44325895	LSD1_peak_7234	0	.	63	71	103	87	73	80	125	123
chr17	44326154	44326626	LSD1_peak_7235	0	.	32	19	31	28	28	16	42	48
chr17	44333594	44335174	LSD1_peak_7236	0	.	133	162	143	150	148	122	189	179
chr17	44345396	44345796	LSD1_peak_7237	0	.	14	15	32	13	24	13	26	34
chr17	44347762	44348768	LSD1_peak_7238	0	.	68	85	123	117	81	97	140	111
chr17	44414462	44414880	LSD1_peak_7239	0	.	15	22	24	19	21	32	37	46
chr17	44546992	44548525	LSD1_peak_7240	0	.	121	124	166	147	143	160	198	196
chr17	44557485	44557562	LSD1_peak_7241	0	.	4	10	15	9	5	18	14	5
chr17	45077337	45077769	LSD1_peak_7242	0	.	31	26	27	35	36	31	37	48
chr17	45147481	45147768	LSD1_peak_7243	0	.	24	23	24	24	21	40	26	38
chr17	45160756	45161060	LSD1_peak_7244	0	.	21	20	27	28	29	33	32	22
chr17	45225548	45225768	LSD1_peak_7245	0	.	14	14	17	24	28	30	33	20
chr17	45225787	45228067	LSD1_peak_7246	0	.	219	199	287	282	258	279	271	245
chr17	45228433	45229529	LSD1_peak_7247	0	.	61	107	153	107	100	216	155	139
chr17	45293752	45294050	LSD1_peak_7248	0	.	18	14	24	24	20	28	21	24
chr17	45295539	45295540	LSD1_peak_7249	0	.	1	0	1	1	10	0	6	0
chr17	45295902	45296595	LSD1_peak_7250	0	.	46	64	90	104	68	94	56	109
chr17	45307435	45308110	LSD1_peak_7251	0	.	37	34	57	39	42	46	93	57
chr17	45329192	45330269	LSD1_peak_7252	0	.	89	104	143	158	112	195	140	162
chr17	45332633	45333488	LSD1_peak_7253	0	.	65	51	130	85	77	112	79	86
chr17	45373769	45373994	LSD1_peak_7254	0	.	10	16	37	33	16	49	27	25
chr17	45428325	45429178	LSD1_peak_7255	0	.	57	80	94	88	133	93	82	117
chr17	46178855	46179498	LSD1_peak_7256	0	.	48	49	77	120	82	93	78	88
chr17	46191546	46191742	LSD1_peak_7257	0	.	12	5	12	15	8	31	21	16
chr17	46266955	46267558	LSD1_peak_7258	0	.	53	45	47	26	16	45	79	60
chr17	47071113	47071403	LSD1_peak_7259	0	.	20	20	17	12	19	12	21	27
chr17	47097575	47097679	LSD1_peak_7260	0	.	8	7	4	7	16	15	8	5
chr17	47098939	47099328	LSD1_peak_7261	0	.	32	34	37	38	22	50	62	51
chr17	47200193	47200450	LSD1_peak_7262	0	.	20	17	26	24	23	40	24	28
chr17	47324075	47324406	LSD1_peak_7263	0	.	12	25	29	17	28	40	52	36
chr17	47647441	47647823	LSD1_peak_7264	0	.	24	34	37	46	38	59	13	27
chr17	47649001	47649370	LSD1_peak_7265	0	.	31	37	45	36	25	48	46	32
chr17	47694259	47694869	LSD1_peak_7266	0	.	46	42	39	33	31	36	68	55
chr17	48023401	48025067	LSD1_peak_7267	0	.	123	115	154	170	198	175	171	197
chr17	48101766	48102380	LSD1_peak_7268	0	.	38	66	15	27	27	32	38	37
chr17	48107745	48107939	LSD1_peak_7269	0	.	6	21	18	29	16	28	21	24
chr17	48113260	48113886	LSD1_peak_7270	0	.	23	49	77	52	66	43	72	53
chr17	48841053	48841741	LSD1_peak_7271	0	.	58	43	70	79	83	67	65	47
chr17	49192243	49192827	LSD1_peak_7272	0	.	27	47	40	34	29	46	65	51
chr17	49193112	49193384	LSD1_peak_7273	0	.	12	36	34	33	15	15	25	24
chr17	49342667	49343271	LSD1_peak_7274	0	.	27	24	38	36	34	41	49	43
chr17	49388417	49388795	LSD1_peak_7275	0	.	17	18	24	43	35	43	35	14
chr17	49389240	49389265	LSD1_peak_7276	0	.	0	1	1	3	0	2	1	4
chr17	49389615	49389761	LSD1_peak_7277	0	.	2	5	10	8	11	13	13	13
chr17	49390182	49390931	LSD1_peak_7278	0	.	35	48	65	85	47	67	71	80
chr17	49568221	49568415	LSD1_peak_7279	0	.	6	8	8	13	15	16	11	10
chr17	49569739	49570074	LSD1_peak_7280	0	.	24	51	31	38	57	44	43	41
chr17	49676322	49676775	LSD1_peak_7281	0	.	11	29	52	40	34	29	44	37
chr17	49738443	49739161	LSD1_peak_7282	0	.	46	30	54	44	52	38	62	57
chr17	49739546	49740324	LSD1_peak_7283	0	.	56	77	112	92	103	116	72	132
chr17	49741583	49742817	LSD1_peak_7284	0	.	89	94	143	154	136	128	142	127
chr17	49787947	49788103	LSD1_peak_7285	0	.	12	31	38	22	13	13	20	20
chr17	49851178	49851859	LSD1_peak_7286	0	.	61	63	109	99	59	98	70	77
chr17	49968544	49968955	LSD1_peak_7287	0	.	24	38	38	37	14	46	41	36
chr17	50094869	50095167	LSD1_peak_7288	0	.	16	17	37	31	41	43	34	30
chr17	50148024	50148996	LSD1_peak_7289	0	.	68	79	114	137	133	137	110	116
chr17	50151846	50152169	LSD1_peak_7290	0	.	44	36	50	47	40	57	70	48
chr17	50183879	50184791	LSD1_peak_7291	0	.	84	75	105	104	126	94	98	114
chr17	50218887	50219191	LSD1_peak_7292	0	.	12	33	26	31	24	51	36	51
chr17	50221350	50222381	LSD1_peak_7293	0	.	112	111	183	186	127	199	180	140
chr17	50249453	50250291	LSD1_peak_7294	0	.	95	98	80	55	101	98	101	70
chr17	50283189	50283496	LSD1_peak_7295	0	.	28	34	54	37	39	43	35	34
chr17	50290124	50290312	LSD1_peak_7296	0	.	15	30	53	36	12	44	21	17
chr17	50421196	50421906	LSD1_peak_7297	0	.	37	40	73	41	53	52	48	44
chr17	50504043	50504566	LSD1_peak_7298	0	.	16	17	32	47	40	45	33	8
chr17	50707558	50707949	LSD1_peak_7299	0	.	36	28	38	16	54	48	37	47
chr17	50930489	50931876	LSD1_peak_7300	0	.	86	125	114	97	146	154	152	173
chr17	50950433	50950856	LSD1_peak_7301	0	.	32	34	48	56	40	56	64	22
chr17	51088636	51088940	LSD1_peak_7302	0	.	9	10	19	8	17	19	14	40
chr17	55420719	55421082	LSD1_peak_7303	0	.	25	26	38	36	49	44	32	37
chr17	55576749	55577126	LSD1_peak_7304	0	.	14	18	12	24	22	13	38	26
chr17	55672867	55673756	LSD1_peak_7305	0	.	57	58	87	74	75	73	103	119
chr17	55690146	55690363	LSD1_peak_7306	0	.	17	25	34	32	31	52	31	20
chr17	55751150	55751359	LSD1_peak_7307	0	.	7	6	10	7	12	17	18	12
chr17	56594595	56595007	LSD1_peak_7308	0	.	60	39	47	51	49	66	42	38
chr17	56681518	56682106	LSD1_peak_7309	0	.	56	45	79	102	61	109	65	56
chr17	56750251	56750557	LSD1_peak_7310	0	.	32	28	15	33	22	38	28	24
chr17	56774524	56775102	LSD1_peak_7311	0	.	51	44	84	52	45	77	50	66
chr17	56775635	56775645	LSD1_peak_7312	0	.	5	1	4	3	3	2	3	4
chr17	56776543	56776788	LSD1_peak_7313	0	.	6	9	7	15	20	10	22	11
chr17	56785819	56786289	LSD1_peak_7314	0	.	26	20	20	20	24	25	33	31
chr17	56786612	56788207	LSD1_peak_7315	0	.	232	204	187	180	218	250	260	330
chr17	56833373	56833848	LSD1_peak_7316	0	.	18	35	33	39	29	36	43	31
chr17	56833853	56834424	LSD1_peak_7317	0	.	32	31	43	70	61	73	85	75
chr17	56835077	56835138	LSD1_peak_7318	0	.	5	5	6	9	4	4	9	2
chr17	56879841	56880635	LSD1_peak_7319	0	.	90	73	74	84	69	80	67	94
chr17	56914183	56914927	LSD1_peak_7320	0	.	51	60	63	79	60	84	100	100
chr17	56918699	56919143	LSD1_peak_7321	0	.	29	43	38	23	26	42	55	60
chr17	56978689	56978906	LSD1_peak_7322	0	.	15	9	18	30	15	24	25	9
chr17	56985496	56986158	LSD1_peak_7323	0	.	55	55	92	101	84	76	78	67
chr17	57004927	57006738	LSD1_peak_7324	0	.	87	130	171	214	160	177	145	149
chr17	57046758	57047068	LSD1_peak_7325	0	.	41	24	27	38	44	47	24	18
chr17	57256013	57256319	LSD1_peak_7326	0	.	6	9	9	24	16	18	35	29
chr17	57285128	57285493	LSD1_peak_7327	0	.	23	18	53	41	36	31	33	51
chr17	57338575	57338982	LSD1_peak_7328	0	.	37	44	61	63	65	82	52	45
chr17	57340514	57340887	LSD1_peak_7329	0	.	17	29	51	31	25	33	43	43
chr17	57454963	57455221	LSD1_peak_7330	0	.	14	22	45	16	21	19	22	14
chr17	57557686	57558311	LSD1_peak_7331	0	.	44	55	75	53	44	47	71	71
chr17	57559903	57561556	LSD1_peak_7332	0	.	117	98	133	155	145	223	245	140
chr17	57603857	57604535	LSD1_peak_7333	0	.	47	63	72	43	54	72	79	65
chr17	57646559	57646839	LSD1_peak_7334	0	.	13	9	20	12	29	11	23	18
chr17	57663114	57663230	LSD1_peak_7335	0	.	7	7	7	16	16	6	11	5
chr17	57672181	57672243	LSD1_peak_7336	0	.	1	6	7	3	9	4	6	5
chr17	57744937	57745204	LSD1_peak_7337	0	.	11	26	23	17	22	27	29	16
chr17	57811062	57811577	LSD1_peak_7338	0	.	48	36	63	45	48	46	66	27
chr17	57832130	57832485	LSD1_peak_7339	0	.	28	35	33	29	41	54	53	57
chr17	57850418	57850715	LSD1_peak_7340	0	.	25	24	27	22	18	17	27	35
chr17	57860763	57861145	LSD1_peak_7341	0	.	21	21	24	28	23	37	44	38
chr17	57867849	57868855	LSD1_peak_7342	0	.	68	74	88	101	91	83	112	113
chr17	57893014	57893426	LSD1_peak_7343	0	.	40	44	97	53	50	35	61	67
chr17	57899162	57899680	LSD1_peak_7344	0	.	55	36	34	30	28	55	48	30
chr17	57946979	57947231	LSD1_peak_7345	0	.	9	18	51	39	11	21	37	17
chr17	57948339	57948852	LSD1_peak_7346	0	.	15	22	48	37	47	26	41	55
chr17	57987181	57987889	LSD1_peak_7347	0	.	50	29	55	43	38	59	75	63
chr17	58232256	58233282	LSD1_peak_7348	0	.	74	76	111	90	96	126	81	115
chr17	58281203	58282458	LSD1_peak_7349	0	.	83	104	143	127	181	180	160	164
chr17	58284569	58285715	LSD1_peak_7350	0	.	104	81	176	184	161	229	189	170
chr17	58329026	58329775	LSD1_peak_7351	0	.	108	81	148	126	92	165	121	142
chr17	58332623	58332977	LSD1_peak_7352	0	.	42	37	38	53	36	51	66	43
chr17	58337354	58337979	LSD1_peak_7353	0	.	35	53	42	51	36	42	72	50
chr17	58338292	58339151	LSD1_peak_7354	0	.	180	150	126	156	135	136	239	216
chr17	58802390	58802634	LSD1_peak_7355	0	.	14	9	12	23	15	19	22	14
chr17	59153885	59154065	LSD1_peak_7356	0	.	5	7	17	13	9	15	17	14
chr17	59154768	59155877	LSD1_peak_7357	0	.	89	91	117	97	122	108	117	131
chr17	59372238	59372845	LSD1_peak_7358	0	.	49	54	70	97	65	73	67	54
chr17	59374305	59374456	LSD1_peak_7359	0	.	8	10	14	11	19	8	13	7
chr17	59437584	59438144	LSD1_peak_7360	0	.	34	44	51	45	32	63	67	48
chr17	59779245	59779418	LSD1_peak_7361	0	.	14	8	10	20	15	16	15	12
chr17	59786409	59787323	LSD1_peak_7362	0	.	78	86	117	125	91	114	113	79
chr17	59804352	59805782	LSD1_peak_7363	0	.	99	122	119	162	167	175	168	154
chr17	59812230	59812543	LSD1_peak_7364	0	.	22	21	48	52	43	47	42	47
chr17	59829349	59829470	LSD1_peak_7365	0	.	5	4	10	12	15	12	21	8
chr17	59829773	59829889	LSD1_peak_7366	0	.	6	8	7	8	14	7	12	7
chr17	59842858	59843335	LSD1_peak_7367	0	.	44	18	25	35	24	39	35	51
chr17	59845683	59846001	LSD1_peak_7368	0	.	19	17	16	23	9	24	19	32
chr17	59848612	59849052	LSD1_peak_7369	0	.	16	27	61	47	55	44	76	42
chr17	60078462	60078993	LSD1_peak_7370	0	.	23	39	65	35	51	51	70	53
chr17	60357163	60357779	LSD1_peak_7371	0	.	20	40	17	44	45	36	43	37
chr17	60371899	60372454	LSD1_peak_7372	0	.	36	31	62	72	91	70	63	39
chr17	60389145	60389355	LSD1_peak_7373	0	.	7	19	16	24	5	13	12	26
chr17	60390431	60390743	LSD1_peak_7374	0	.	15	20	26	43	26	31	25	33
chr17	60393785	60394163	LSD1_peak_7375	0	.	29	33	37	36	40	41	51	17
chr17	60398167	60398901	LSD1_peak_7376	0	.	75	78	129	124	103	120	105	110
chr17	60598143	60598970	LSD1_peak_7377	0	.	53	46	53	75	68	71	83	85
chr17	60599644	60600774	LSD1_peak_7378	0	.	89	96	102	113	88	114	102	89
chr17	60864077	60864791	LSD1_peak_7379	0	.	37	35	96	102	48	58	97	85
chr17	61970178	61970565	LSD1_peak_7380	0	.	14	18	44	22	19	36	38	34
chr17	62626584	62627210	LSD1_peak_7381	0	.	36	37	64	73	68	87	59	68
chr17	62627611	62627991	LSD1_peak_7382	0	.	16	34	50	29	24	37	49	48
chr17	62652283	62652483	LSD1_peak_7383	0	.	22	27	36	28	42	33	44	36
chr17	62652765	62653173	LSD1_peak_7384	0	.	38	42	12	27	53	48	35	34
chr17	62653316	62653663	LSD1_peak_7385	0	.	19	18	38	31	35	54	59	37
chr17	62781656	62782229	LSD1_peak_7386	0	.	64	50	73	81	65	90	55	54
chr17	62827979	62827992	LSD1_peak_7387	0	.	6	3	0	3	3	6	6	4
chr17	62995072	62995374	LSD1_peak_7388	0	.	15	9	13	12	16	19	25	28
chr17	63189465	63190339	LSD1_peak_7389	0	.	59	55	46	68	95	102	81	71
chr17	63190651	63192631	LSD1_peak_7390	0	.	175	187	224	156	177	250	264	237
chr17	63623352	63623536	LSD1_peak_7391	0	.	11	4	12	8	11	32	16	23
chr17	63646292	63647143	LSD1_peak_7392	0	.	74	85	152	88	133	98	102	108
chr17	63652042	63652628	LSD1_peak_7393	0	.	35	33	78	33	50	43	69	63
chr17	63742529	63742774	LSD1_peak_7394	0	.	20	22	26	18	28	19	18	20
chr17	64020316	64020544	LSD1_peak_7395	0	.	5	11	12	5	18	16	25	16
chr17	64074151	64075543	LSD1_peak_7396	0	.	96	112	168	136	144	170	183	154
chr17	64075872	64076651	LSD1_peak_7397	0	.	28	54	64	56	58	85	65	74
chr17	64146431	64146696	LSD1_peak_7398	0	.	30	21	19	11	29	15	31	23
chr17	64174992	64175305	LSD1_peak_7399	0	.	17	14	38	41	26	38	36	20
chr17	64180249	64180794	LSD1_peak_7400	0	.	29	34	45	62	50	67	57	46
chr17	64185020	64185910	LSD1_peak_7401	0	.	54	49	111	97	71	53	95	91
chr17	64278176	64278473	LSD1_peak_7402	0	.	31	23	27	32	21	25	39	33
chr17	64326434	64327728	LSD1_peak_7403	0	.	91	94	225	211	145	200	138	216
chr17	64331690	64332960	LSD1_peak_7404	0	.	94	101	139	97	94	144	154	107
chr17	64385171	64385261	LSD1_peak_7405	0	.	16	15	13	7	10	17	15	14
chr17	64390152	64391475	LSD1_peak_7406	0	.	88	115	151	151	141	192	134	141
chr17	64391574	64391759	LSD1_peak_7407	0	.	4	12	10	10	14	15	13	8
chr17	64404492	64405110	LSD1_peak_7408	0	.	68	56	87	53	58	76	63	50
chr17	64411976	64413203	LSD1_peak_7409	0	.	81	95	85	110	104	136	137	128
chr17	64441675	64442486	LSD1_peak_7410	0	.	66	80	87	68	87	85	94	69
chr17	64448596	64449803	LSD1_peak_7411	0	.	78	71	138	94	113	124	118	132
chr17	64455891	64457333	LSD1_peak_7412	0	.	132	133	95	136	108	198	166	156
chr17	64661697	64662177	LSD1_peak_7413	0	.	25	29	32	28	6	29	45	32
chr17	64776932	64777279	LSD1_peak_7414	0	.	16	29	53	48	32	54	40	45
chr17	64777427	64778163	LSD1_peak_7415	0	.	40	34	41	79	92	66	51	62
chr17	64919795	64920152	LSD1_peak_7416	0	.	24	31	30	32	36	36	43	30
chr17	64984834	64985959	LSD1_peak_7417	0	.	53	47	87	39	81	126	91	96
chr17	64986324	64986551	LSD1_peak_7418	0	.	5	14	20	12	12	18	23	14
chr17	65055825	65056328	LSD1_peak_7419	0	.	13	18	28	35	13	49	36	38
chr17	65059597	65060285	LSD1_peak_7420	0	.	51	33	47	47	56	44	57	53
chr17	65060577	65061135	LSD1_peak_7421	0	.	44	28	50	31	41	56	49	56
chr17	65154971	65155214	LSD1_peak_7422	0	.	17	20	13	29	16	15	21	27
chr17	66468162	66469195	LSD1_peak_7423	0	.	57	117	124	112	97	113	129	141
chr17	67164815	67165121	LSD1_peak_7424	0	.	32	20	17	20	25	20	36	28
chr17	67244558	67244872	LSD1_peak_7425	0	.	10	14	14	11	9	10	26	21
chr17	67260458	67260858	LSD1_peak_7426	0	.	20	24	60	41	50	66	38	44
chr17	67270113	67270706	LSD1_peak_7427	0	.	37	39	67	51	50	72	52	82
chr17	67433729	67434648	LSD1_peak_7428	0	.	52	69	100	88	84	123	105	100
chr17	67481578	67482334	LSD1_peak_7429	0	.	67	70	79	99	80	110	56	77
chr17	67483662	67483698	LSD1_peak_7430	0	.	0	3	9	4	5	5	4	5
chr17	68101646	68101905	LSD1_peak_7431	0	.	5	27	6	22	7	18	18	20
chr17	68205149	68205453	LSD1_peak_7432	0	.	17	17	28	14	27	21	20	29
chr17	68205809	68205813	LSD1_peak_7433	0	.	0	0	0	1	0	0	3	0
chr17	68247428	68247685	LSD1_peak_7434	0	.	20	27	47	15	21	21	38	32
chr17	68248327	68248471	LSD1_peak_7435	0	.	14	12	7	12	18	13	31	24
chr17	68249369	68249935	LSD1_peak_7436	0	.	42	37	31	42	35	41	56	42
chr17	68288301	68288905	LSD1_peak_7437	0	.	48	37	94	67	48	85	65	91
chr17	68290013	68290274	LSD1_peak_7438	0	.	14	27	16	12	12	20	16	31
chr17	68291774	68292418	LSD1_peak_7439	0	.	56	60	75	64	59	114	86	72
chr17	68297240	68297756	LSD1_peak_7440	0	.	43	32	44	25	32	33	39	33
chr17	68312343	68313072	LSD1_peak_7441	0	.	80	72	121	75	87	122	86	112
chr17	68314767	68315012	LSD1_peak_7442	0	.	10	16	31	33	15	33	26	24
chr17	68346419	68346889	LSD1_peak_7443	0	.	35	65	96	72	78	93	59	57
chr17	68497827	68498126	LSD1_peak_7444	0	.	15	33	22	29	31	32	30	40
chr17	68498202	68499177	LSD1_peak_7445	0	.	82	72	87	92	63	93	73	115
chr17	68508803	68509491	LSD1_peak_7446	0	.	19	28	51	43	36	27	43	52
chr17	68580154	68580576	LSD1_peak_7447	0	.	36	39	142	94	39	81	60	40
chr17	69047660	69047926	LSD1_peak_7448	0	.	21	32	50	15	17	50	31	22
chr17	69063919	69064501	LSD1_peak_7449	0	.	56	33	59	57	65	73	56	61
chr17	69065176	69065246	LSD1_peak_7450	0	.	4	6	7	11	14	10	5	3
chr17	69115565	69115890	LSD1_peak_7451	0	.	12	21	24	24	33	29	33	30
chr17	69115900	69116142	LSD1_peak_7452	0	.	27	41	51	32	34	57	28	15
chr17	69117104	69117441	LSD1_peak_7453	0	.	16	9	8	16	9	20	21	30
chr17	69607799	69607965	LSD1_peak_7454	0	.	8	14	11	11	11	13	21	13
chr17	69757790	69758303	LSD1_peak_7455	0	.	32	38	54	47	68	76	54	72
chr17	70295613	70295928	LSD1_peak_7456	0	.	17	20	28	25	30	24	34	32
chr17	70527124	70527731	LSD1_peak_7457	0	.	44	43	69	79	49	47	56	64
chr17	70703053	70703371	LSD1_peak_7458	0	.	16	25	37	17	21	30	32	36
chr17	72711023	72711363	LSD1_peak_7459	0	.	34	18	31	18	14	25	26	29
chr17	73092356	73092744	LSD1_peak_7460	0	.	29	25	18	43	30	35	38	40
chr17	73096101	73096602	LSD1_peak_7461	0	.	30	43	26	45	30	37	58	41
chr17	73097054	73097928	LSD1_peak_7462	0	.	99	98	150	146	164	145	137	99
chr17	73142956	73143469	LSD1_peak_7463	0	.	52	69	69	56	79	83	75	77
chr17	73152005	73152238	LSD1_peak_7464	0	.	14	28	6	28	23	29	29	23
chr17	73231828	73232083	LSD1_peak_7465	0	.	6	17	14	13	10	17	17	17
chr17	73232583	73232915	LSD1_peak_7466	0	.	10	17	12	9	29	19	24	26
chr17	73262256	73262315	LSD1_peak_7467	0	.	3	10	8	6	11	12	11	9
chr17	73262446	73262737	LSD1_peak_7468	0	.	19	35	22	23	41	38	47	43
chr17	73271009	73271464	LSD1_peak_7469	0	.	19	33	30	27	67	63	34	24
chr17	73291357	73291801	LSD1_peak_7470	0	.	42	53	64	87	45	56	66	52
chr17	73731783	73731972	LSD1_peak_7471	0	.	31	23	25	34	14	40	24	22
chr17	73969893	73970149	LSD1_peak_7472	0	.	18	23	41	24	34	36	19	21
chr17	74282631	74282707	LSD1_peak_7473	0	.	4	6	12	2	11	12	6	14
chr17	74282980	74283069	LSD1_peak_7474	0	.	9	2	6	3	9	10	4	1
chr17	74418652	74418853	LSD1_peak_7475	0	.	19	14	21	15	17	33	18	10
chr17	74462634	74463923	LSD1_peak_7476	0	.	70	99	131	165	183	195	124	134
chr17	74466164	74466482	LSD1_peak_7477	0	.	28	13	16	24	33	43	26	20
chr17	74466714	74466870	LSD1_peak_7478	0	.	8	10	19	14	18	12	12	11
chr17	74478611	74479030	LSD1_peak_7479	0	.	28	22	40	45	30	83	40	24
chr17	74512567	74513474	LSD1_peak_7480	0	.	103	88	114	114	74	138	95	87
chr17	74519916	74522409	LSD1_peak_7481	0	.	226	256	259	274	220	312	330	350
chr17	74528427	74529083	LSD1_peak_7482	0	.	44	78	130	93	62	117	86	51
chr17	74529375	74529384	LSD1_peak_7483	0	.	2	3	3	4	4	0	2	3
chr17	74531138	74532068	LSD1_peak_7484	0	.	54	93	35	84	47	77	103	77
chr17	74545888	74546306	LSD1_peak_7485	0	.	34	15	36	42	16	42	32	36
chr17	74631768	74632365	LSD1_peak_7486	0	.	35	40	128	82	64	68	61	69
chr17	74639454	74640130	LSD1_peak_7487	0	.	56	71	87	123	94	72	87	120
chr17	74682401	74683243	LSD1_peak_7488	0	.	67	55	114	88	67	129	91	90
chr17	74688327	74689730	LSD1_peak_7489	0	.	94	109	189	185	118	204	194	137
chr17	74689912	74689969	LSD1_peak_7490	0	.	6	2	3	8	9	17	3	11
chr17	74690291	74690487	LSD1_peak_7491	0	.	23	22	22	26	16	31	15	12
chr17	74712685	74713409	LSD1_peak_7492	0	.	58	83	88	80	62	124	79	83
chr17	74736603	74736996	LSD1_peak_7493	0	.	17	32	33	41	37	57	55	42
chr17	74737353	74738885	LSD1_peak_7494	0	.	102	94	112	120	123	114	119	121
chr17	74778183	74779328	LSD1_peak_7495	0	.	44	60	113	90	73	99	86	82
chr17	74779664	74780211	LSD1_peak_7496	0	.	36	20	56	67	46	95	57	60
chr17	74988168	74988346	LSD1_peak_7497	0	.	6	11	8	8	20	19	10	18
chr17	74992045	74992774	LSD1_peak_7498	0	.	28	41	67	41	68	55	79	65
chr17	74994442	74995218	LSD1_peak_7499	0	.	61	51	94	74	93	81	75	56
chr17	75131288	75131592	LSD1_peak_7500	0	.	11	27	26	26	33	31	32	22
chr17	75228275	75228906	LSD1_peak_7501	0	.	36	34	88	42	58	72	68	74
chr17	75251663	75251985	LSD1_peak_7502	0	.	23	21	50	45	47	48	20	24
chr17	75267200	75267590	LSD1_peak_7503	0	.	25	26	39	29	25	24	38	26
chr17	75268699	75268880	LSD1_peak_7504	0	.	8	4	5	4	8	5	11	12
chr17	75269214	75269513	LSD1_peak_7505	0	.	21	22	26	27	37	22	29	26
chr17	75289709	75290434	LSD1_peak_7506	0	.	58	49	63	58	49	74	72	63
chr17	75293879	75294183	LSD1_peak_7507	0	.	18	27	14	19	28	24	18	14
chr17	75295909	75296710	LSD1_peak_7508	0	.	78	58	57	67	73	62	83	68
chr17	75297232	75297817	LSD1_peak_7509	0	.	39	40	61	39	59	68	43	42
chr17	75308741	75309765	LSD1_peak_7510	0	.	61	64	110	110	95	124	107	133
chr17	75311385	75312778	LSD1_peak_7511	0	.	90	114	149	87	115	102	129	156
chr17	75313280	75313457	LSD1_peak_7512	0	.	7	7	10	12	8	4	14	12
chr17	75314141	75314388	LSD1_peak_7513	0	.	24	22	33	26	21	40	25	35
chr17	75338211	75338899	LSD1_peak_7514	0	.	66	40	86	88	60	85	43	65
chr17	75339254	75339901	LSD1_peak_7515	0	.	42	48	41	46	29	22	67	51
chr17	75404815	75405557	LSD1_peak_7516	0	.	34	49	41	45	47	40	60	59
chr17	75588012	75588366	LSD1_peak_7517	0	.	25	21	19	34	17	30	26	37
chr17	75688544	75688861	LSD1_peak_7518	0	.	33	25	12	31	20	28	27	11
chr17	75764794	75765044	LSD1_peak_7519	0	.	3	17	10	12	16	19	20	11
chr17	75782800	75783497	LSD1_peak_7520	0	.	32	48	57	61	58	78	49	48
chr17	75905864	75906292	LSD1_peak_7521	0	.	29	41	40	46	14	31	22	25
chr17	76252152	76252433	LSD1_peak_7522	0	.	16	11	39	29	27	36	18	19
chr17	76381256	76382283	LSD1_peak_7523	0	.	78	67	103	98	97	97	107	93
chr17	76406149	76406476	LSD1_peak_7524	0	.	24	20	43	40	23	35	29	39
chr17	76453140	76453994	LSD1_peak_7525	0	.	135	154	111	158	163	168	174	140
chr17	76480740	76481490	LSD1_peak_7526	0	.	52	59	54	75	71	87	69	64
chr17	76492949	76493338	LSD1_peak_7527	0	.	27	28	40	35	42	43	42	33
chr17	76550890	76551272	LSD1_peak_7528	0	.	14	35	40	53	33	45	39	45
chr17	76557990	76558597	LSD1_peak_7529	0	.	43	26	35	30	11	43	47	43
chr17	76599717	76600032	LSD1_peak_7530	0	.	10	27	43	30	18	30	23	18
chr17	76716153	76716449	LSD1_peak_7531	0	.	21	35	40	40	53	45	44	45
chr17	76738271	76738509	LSD1_peak_7532	0	.	8	13	7	16	20	15	14	23
chr17	77266939	77267141	LSD1_peak_7533	0	.	19	19	17	13	25	19	11	13
chr17	77267205	77267649	LSD1_peak_7534	0	.	31	46	61	44	45	52	61	34
chr17	77405015	77405730	LSD1_peak_7535	0	.	32	52	91	62	42	88	77	61
chr17	77420538	77421410	LSD1_peak_7536	0	.	60	114	115	98	81	133	112	113
chr17	77427918	77428293	LSD1_peak_7537	0	.	17	27	41	19	19	36	26	42
chr17	77440534	77440878	LSD1_peak_7538	0	.	22	21	20	36	38	23	33	46
chr17	77441206	77441756	LSD1_peak_7539	0	.	67	42	95	60	83	82	63	65
